"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"ID042","    0.000000","    0.000000","    0.000000","10483.666667","    4.000000","    0.000000","    0.000000","    0.000000","    0.000000","   14.333333","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","   15.333333","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    1.333333","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    1.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    9.666667","    0.000000","    0.000000"," 1893.666667","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    3.666667","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000","    0.000000"," 3545.666667","    0.000000","    2.000000","    0.000000","    0.000000","    0.000000","    0.000000"
"ID043","   0.00","   0.00","   0.00","  49.75","   8.50","   0.00","   0.00","   0.00","   0.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.75","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","  35.00","   2.25","   0.00","   0.00","4479.25","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.50","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 176.00","   0.00","   8.50","   0.00","   0.00","   0.00","   0.00"
"ID044","  0.00","  0.00","  0.00","217.00","  3.25","  0.00","  0.00","  0.00","  0.00","  4.75","  8.50","  0.00","  0.00","  0.00","  0.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.25","  0.00"," 10.25"," 18.00"," 10.50","  0.00","  0.00"," 63.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  7.50"," 36.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 15.50","  0.00","  0.00"," 36.50","  0.00","  0.00","  2.25","  0.00"," 94.00","  0.00"
"ID045","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  2.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","101.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 33.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.75","  0.00","  9.75","  0.00","  0.00","  0.00","  0.00"
"ID046","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  22.25","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 875.75","   0.50","   0.00","   0.00","  99.25","   2.50","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.75","   0.00","   0.00","   0.00","   0.00","  13.50","   0.00","3388.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"ID047","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","14217.50","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    7.00"," 2934.00","    0.00","    0.00","    0.00","  333.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  332.50","    0.00","    9.25","    0.00","    0.00","    0.00","    0.00"
"ID048","    0.00","    0.00","    0.00","    4.50","    0.75","    0.00","    0.00","    0.00","    0.00","69735.00","    0.00","    0.00","    0.00","    0.00","    0.00","   41.25","    0.00","    0.00","    0.00","   11.50","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.50","    0.00","    0.00","    0.00","    0.00","    2.25","    0.00","   13.25","   16.00","    0.00","    0.00","    0.00"," 5125.50","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   22.25","    0.00","   20.00","    0.00","   12.25","    0.00","    0.00","    0.00","    0.00"
"ID049","   0.00","   0.00","   0.00","   0.75","  32.75","   0.00","   0.00","   0.00","   0.00","1313.75","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  14.25","   0.00","   0.00","   0.00"," 342.75","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"ID050","  1.25","  0.00","  0.75","137.25"," 21.25","  0.00","  0.75","  0.00","  7.00"," 98.50","  0.00","  0.00","  0.00","  0.00","  5.50"," 13.75","  0.00","  0.00","  0.00","  5.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  6.25","  0.00","  0.00","  0.00","  0.00"," 49.25","  0.00","  0.00"," 20.00","  2.00","  0.00","  0.00"," 69.50","824.75","  0.00","  0.00","  0.50","  4.25","  0.00","  0.00","  1.50","  4.00","  0.00","  1.75","  0.00","  0.00","  0.50","  0.00","  0.00","183.75","  0.00","155.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"ID051","    0.00","    0.00","    0.00","  110.25","45007.50","    0.00","    0.00","    0.00","    0.00"," 4005.25","    0.00","    0.00","    0.00","    0.00","    3.25","    5.00","    0.00","    0.00","    0.00","   10.50","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   30.25","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00"," 3616.50","  194.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.25","    0.00","    0.00","    1.75","    0.00","    0.00","    0.00","    2.25","   56.50","    0.00","  193.25","    0.00","    0.00","    0.00","    0.00","    0.00","    1.25"
"ID052","  0.00","  0.00","  0.00","684.00","175.25","  0.75","  0.00","  0.00","  2.00"," 55.75","  1.75","  0.00","  0.00","  0.00","  0.00"," 75.00","  0.00","  0.00","  0.00","  8.75","  0.00","  0.00","  0.00","  1.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.50"," 20.75","  5.50","  0.00","106.50","  0.00","  2.75"," 12.25","  0.50","  0.00","  0.00"," 22.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.75","  0.00","  0.00","  4.25","  0.00","  0.00","  0.00","  0.00"," 81.00"," 12.50","  0.00","103.00","  0.00","  0.00"," 18.50","  0.00","  0.00","  0.00"
"ID053","   0.00","   0.00","   0.00","4439.00","1554.00","   9.75","   0.00","   0.00","   0.00"," 378.25","   0.00","   0.00","   0.00","   0.00","   0.00","7364.00","  11.75","   0.00","   0.00","  19.50","   0.00","   0.00","   0.00"," 468.75","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 425.75","   0.00"," 599.75","   0.00"," 444.75","   0.00","   0.00","   0.00","   0.00","9165.75","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.25","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 114.75","   0.00","   0.75","   0.00","   0.00","   0.00","   0.00"
"ID054","  0.00","  0.00","  0.00","128.50","  0.00","  0.50","  3.50","  0.00","  0.00","  0.75","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 12.25","  8.75","  0.50","  0.00","  0.00"," 79.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.25","  0.00","  0.00","  0.00"," 30.75","  3.00","  0.00","  5.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"ID055","  0.00","  0.00","  0.00"," 33.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  1.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.75","  0.00","  0.00","  0.00","368.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.25","  0.00","  0.00"," 19.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"ID056","    0.00","    0.00","    0.00","   23.25","   35.50","    2.25","    0.00","    0.00","    1.00","18528.25","    0.00","    0.00","    0.00","    0.00","    0.75","   25.25","    0.00","    0.00","    0.00","   51.00","    0.00","    0.00","    2.25","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","   16.00","    0.00","    0.00","  203.00","    0.00","    8.00","   30.00","    0.00","    0.00","    0.00","    9.25","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.50","    0.75","   13.50","    0.00","    0.00","    0.00","    5.00","    8.00","   13.00","    0.00","   28.25","    0.00","    0.00","    4.75","    0.00","    0.00","    0.00"
"ID057","     0.00","     0.00","     0.00","    10.75","102663.25","     0.00","     0.00","     0.00","     0.75"," 18666.00","     0.00","     0.00","     0.00","     0.00","     0.00","   384.75","     0.00","     0.00","     0.00","196761.25","     0.00","     0.00","  3500.50","   137.25","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     7.00","     0.00","     0.00","    35.50","     0.00","     0.00","   164.00","     0.00","     0.00","     0.00","  2405.50","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.50","     0.00","     0.00","     0.00","     2.25","     0.00","     0.00","     0.00","    42.75","     0.00","     2.00","     0.00","     0.00","     0.00","     0.00"
"ID058","    4.25","    0.00","    0.00"," 4477.75","  130.25","    0.00","    0.00","    0.00","   60.75","35747.75","    0.00","    0.00","    0.00","    0.00","    7.50","  218.25","    0.00","    0.00","    0.00","   13.50","    0.00","    0.00","   17.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"," 1167.25","    0.00","   30.00","  125.50","    0.00","    0.00","    0.00","    0.00","  400.25","   18.50","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    8.25","  217.25","  532.75","    0.00","    0.75","    0.00","  108.75"," 5201.00","    0.00","  146.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"ID059","     0.00","     0.00","     0.00","  3338.25","168411.25","     0.00","     0.00","     0.00","     0.00","   154.50","     0.00","     0.00","     0.00","     0.00","     1.75","    40.00","     0.00","     0.00","     0.00","    40.75","     0.00","     0.50","    26.50","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","    17.75","     0.00","     0.00","  1256.25","     0.00","     0.00","     0.00","    51.25","   848.25","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","   161.25","   198.50","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","    23.25","     0.00","     0.00","     4.50","     0.00"
"ID060","   7.50","   0.00","   0.00","2524.50","   0.50","   0.00","   0.00","   0.00","   1.50","1436.50","   1.00","   0.00","   0.00","   0.00","   2.25","   4.50","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.50","   0.00","   3.00","   0.00","   1.75","   3.25"," 623.25","   0.00","   6.25","  42.00","   0.00","   0.00","   0.00","   0.00","  76.75","   0.00","   0.00","   0.00","   0.00"," 208.50","   0.00","   0.00","   0.50","   0.00"," 144.00"," 395.25","   0.00","   0.50","  64.50","  40.25","  19.25","   7.50"," 381.00","   0.00","   8.00","   0.50","   0.00","   0.00","   0.00"
"ID061","    0.00","    0.00","    0.00"," 4734.50","32290.25","    0.00","   15.25","    0.00","    0.00"," 2756.50","    0.00","    0.00","    0.00","    0.00","    0.00"," 7660.25","    0.00","    0.00","    0.00","    4.75","    0.00","    0.00","   28.25","    0.00","    0.00","    0.00","    0.00","    0.00","   61.25","  868.00","    0.00","    0.00","34590.00","  252.50","    0.00","    0.00","   70.00","    0.00","    0.00","    0.00","   56.50","    0.00","    0.00","    0.00","    0.00","    0.00","   15.00","    0.00","    0.00","    0.00","    0.00"," 1260.25","   80.00","   29.00","    1.75","    5.50","   31.50","   14.25","    0.00","   76.50","    0.00","    8.75","    0.00","    0.00","    0.00","    0.00"
"ID062","  0.00","  0.00","  0.00","116.50"," 15.25","  0.00","112.25","  0.00","  6.75","424.50","  0.00","  0.00","  2.75","  0.00","  0.00","  0.00","  0.00"," 51.50","  0.00","254.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.50","  0.00","  0.00"," 13.75","  2.50","  3.00","  0.00"," 91.00","  0.00","  5.00"," 12.25","  1.25","  0.00","  0.00"," 19.25","  0.00","  0.00","  4.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.50","  0.00","  0.00","  0.00"," 20.25"," 28.25","  0.00","  0.00"," 37.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"ID063","   0.00","   0.00","   0.00"," 189.00"," 449.25","   0.00","  23.50","   0.00","   1.00","1118.00","   0.00","   2.25","   0.00","   0.00","   0.00","  98.50","   2.75","  18.00","   6.25"," 181.75","   0.00","   0.50","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.25","   4.50","   0.00","   2.75","  91.50","   0.00","   2.75","  25.25","   1.00","   0.50","   0.00","  35.75","   0.00","   0.00","  26.50","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  15.00","  30.50","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","  66.75","   0.00","   3.75","   0.00","   7.00","   0.00","   0.00"
"ID064"," 0.00"," 0.00"," 0.00"," 0.00"," 4.25"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.75","41.25"," 0.00"," 0.00"," 0.00"," 0.50"," 0.75"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.50"," 0.50"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.75"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"ID065","     0.00","     0.00","     3.50","    82.50","143817.00","     0.00","     0.00","     0.00","     0.00","  1465.00","     0.00","     9.00","     0.00","     0.00","     0.00"," 10659.00","    12.50","    26.50","     0.00","   306.25","     0.00","     0.00","    11.50","   216.25","     0.00","     0.00","     0.00","   271.75","     1.50","     0.75","     2.00","     0.00","   489.00","   200.25","     0.00","    14.25","    29.75","     0.00","     0.00","     0.00","   973.00","     2.50","     0.00","     0.00","     0.00","     0.00","    18.25","     0.00","     0.00","     0.00","     0.00","    61.50","   146.00","     0.00","     0.00","    14.75","     0.00","     4.25","     0.00","    78.50","     0.00","     0.00","     4.00","     0.00","     0.00","     0.00"
"ID066","  0.00","  0.00","  0.00"," 55.75","234.25","  0.00","  0.00","  0.00","  0.00","  8.75","  0.00","  0.00","  0.00","  0.00","  0.00"," 44.25","  0.00","  0.75","  0.00","  8.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.50","  0.00","  4.00","  1.75","  0.00","  0.00","  0.00","  0.50","  0.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.50"," 73.75","  0.00","  0.00","  3.75","  4.25","  5.25","  0.00"," 19.50","  0.00","  1.25","  0.75","  0.00","  0.00","  3.50"
"ID067","     0.00","     0.00","   143.00","    29.75"," 31822.25","     0.00","     0.00","     0.00","     0.00","   346.25","     0.00","     0.00","     0.00","     0.00","     0.00","  1359.00","     0.00"," 31723.25","     0.00","  2097.00","     0.00","     0.00","     4.75","     2.00","     0.00","     0.00","     0.00","     2.50","     0.00","    24.00","     0.00","     0.00","    90.00","   535.75","     0.00","    33.50","    29.00","     0.00","     0.00","     0.00","  1848.50","     2.25","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     2.50","     0.00","     0.00","    37.25","167386.75","     0.00","     0.00","     0.00","     1.00","     9.25","     0.00","    40.00","     0.00","     0.00","     8.75","     0.00","     0.00","   192.75"
"ID068","  0.00","  0.00","  0.00","102.75","  0.00","  0.00"," 48.00","  0.00","  0.00","177.50","  1.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  0.00","  2.00","  0.00","  4.50"," 11.25","  0.00","  0.00","  0.00","151.75"," 10.50","  0.00","  0.00","  0.00","  0.00","  0.00","  2.50","  0.00","  2.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.75","  0.00"," 97.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"ID069","    3.50","    0.00","    0.00"," 1595.50","  150.25","    0.00","  185.50","    0.00","    0.00","29623.25","   17.25","    0.00","    0.00","    0.00","    1.00","   10.50","    0.00","    9.25","    0.00","   30.25","    0.00","   45.25","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    7.75","    0.00","    1.75","    0.00","    0.00","  252.50","    0.00","    0.00","    0.00","  346.75","   16.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.50","    2.50","   19.50","    0.00","    0.00","    0.00","    0.00","    2.75","    0.00","   53.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00"
"NK06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NK05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NK08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SS101"," 0"," 0"," 0"," 1"," 0"," 2"," 0"," 0"," 1","18"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0","41"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"
"SS102","0","0","0","7","1","1","0","0","0","2","1","0","0","0","1","0","0","0","2","5","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","4","0","0","2","0","0","1","0","0","0"
"SS103"," 0"," 0"," 0","57"," 0"," 1"," 0"," 0"," 0","31"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"
"SS104","  0","  0","  0","  1","  9","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","551","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  5","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"SS105"," 0"," 0"," 0","15","17"," 0"," 0"," 3"," 0"," 6"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","46"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0","48"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","24"," 0"," 0"," 0"," 0"," 0"," 0"
"SS106","  0","  0","  0"," 39","  1","  2","  0","  2","  0"," 11","  0","  0","  0","  0","  0","  5","  0","  0"," 16","443","  0","  4","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 52","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 44","  0","  0","  0","  0","  0","  0"
"SS107","  0","  0","  0","  1"," 98"," 69","  0","  8","  0","  0","  0","  0","  0","  0","  0"," 70","  0","  0","  0","100","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  5","  0","  0","  0","  1","  0"," 43","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0"," 90","  0","  0","  0","  0","  0","  0"
"SS108"," 0"," 0"," 0"," 1"," 1"," 5"," 0"," 1"," 0","14"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","18"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0","16"," 0"," 0"," 0"," 0"," 0","59"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17"," 0"," 0"," 0"," 0"," 0"," 0"
"SS109"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 0","81"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0","32"," 0"," 5"," 1"," 0"," 0"," 0"," 0"," 0"
"SS110"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 2"," 0","78"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","31"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","23"," 0"," 0"," 0"," 1"," 0","21"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
"SS111","  0","  0","  0","  0","  6","  0","  0","  1","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","117","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0"," 38","  0"," 13","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0"," 10","  0","  0"," 12","  0","  1","  0","  0","  0","  0","  0","  0"
"SS112"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","24"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
"SS113","  0","  0","  0","  0","  1","  1","  0","  2","  0"," 10","  0","  0","  0","  0","  0","  1","  0","  0","  1","106","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 65","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"
"SS114"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 9"," 0","14"," 0"," 0"," 0"," 0"," 1"," 9"," 0"," 1"," 0","83"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","74"," 0"," 0"," 0"," 1"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"
"SS115"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0","12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
"SS116","  0","  0","  0","  1","143","  0","  0","  1","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 70","  0","  0","  0","  0","  0","  0","  0","  0","  1","  6","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 95","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  2","  0","  0","  0"
